,B_2,B_3,B_10,B_15,B_16,B_17,B_18,B_19,B_21,B_24,B_25,Good/Bad
0,-0.0007,-0.0004,21.61,47.47,521.66,2388.02,8138.62,8.4195,392.0,39.06,23.419,0
1,0.0019,-0.0003,21.61,47.49,522.28,2388.07,8131.49,8.4318,392.0,39.0,23.4236,0
2,-0.0043,0.0003,21.61,47.27,522.42,2388.03,8133.23,8.4178,390.0,38.95,23.3442,0
3,0.0007,0.0,21.61,47.13,522.86,2388.08,8133.83,8.3682,392.0,38.88,23.3739,0
4,-0.0019,-0.0002,21.61,47.28,522.19,2388.04,8133.8,8.4294,393.0,38.9,23.4044,0
5,-0.0043,-0.0001,21.61,47.16,521.68,2388.03,8132.85,8.4108,391.0,38.98,23.3669,0
6,0.001,0.0001,21.61,47.36,522.32,2388.03,8132.32,8.3974,392.0,39.1,23.3774,0
7,-0.0034,0.0003,21.61,47.24,522.47,2388.03,8131.07,8.4076,391.0,38.97,23.3106,0
8,0.0008,0.0001,21.61,47.29,521.79,2388.05,8125.69,8.3728,392.0,39.05,23.4066,0
9,-0.0033,0.0001,21.61,47.03,521.79,2388.06,8129.38,8.4286,393.0,38.95,23.4694,0
10,0.0018,-0.0003,21.61,47.15,521.4,2388.01,8140.58,8.434,392.0,38.94,23.4787,0
11,0.0016,0.0002,21.61,47.18,521.8,2388.02,8134.25,8.3938,391.0,39.06,23.366,0
12,-0.0019,0.0004,21.61,47.38,521.85,2388.08,8128.1,8.4152,393.0,38.93,23.2757,0
13,0.0009,0.0,21.61,47.44,521.67,2388.0,8134.43,8.3964,393.0,39.18,23.3826,0
14,-0.0018,-0.0003,21.61,47.3,521.4579096045198,2388.08,8127.56,8.4199,392.8833333333333,38.99,23.35,0
15,0.0006,0.0005,21.61,47.24,521.49,2388.07,8136.11,8.3936,392.0,38.97,23.455,0
16,0.0002,0.0002,21.61,47.12,521.89,2388.04,8137.27,8.4542,392.0,38.81,23.3319,0
17,-0.0031,-0.0001,21.61,47.21,521.76,2388.07,8132.73,8.4028,392.0,38.89,23.3987,0
18,0.0032,-0.0003,21.61,47.4,521.89,2388.03,8129.13,8.4321,391.0,38.8,23.3464,0
21,0.0002,0.0,21.61,47.24,522.0,2388.03,8130.41,8.4034,392.0,38.92,23.3792,0
22,0.0034,-0.0003,21.61,47.25,521.52,2388.05,8127.9,8.424,392.0,38.94,23.4562,0
23,-0.001,0.0003,21.61,47.44,522.13,2388.03,8133.88,8.3891,392.0,39.0,23.3696,0
24,0.0023,6.022099447513812e-05,21.61,47.36,522.56,2388.02,8136.61,8.3917,393.0,38.95,23.4288,0
25,0.0,0.0002,21.61,47.26,522.28,2388.06,8131.15,8.426,394.0,38.86,23.4149,0
26,-0.0012,-0.0004,21.61,47.37,522.0,2388.13,8134.6,8.4046,393.0,38.99,23.4472,0
27,-0.0024,0.0005,21.61,47.41,522.57,2388.08,8127.3,8.4323,390.0,39.01,23.2841,0
28,0.0012,-0.0001,21.61,47.24,522.41,2388.06,8133.06,8.4189,393.0,38.93,23.3597,0
29,-0.0022,0.0,21.61,47.4,522.19,2388.0,8137.86,8.4065,390.0,39.05,23.306268333333335,0
30,0.0014,0.0005,21.61,47.41,521.95,2388.06,8125.28,8.4104,392.0,38.94,23.3353,0
31,-0.0002233333333333333,-0.0003,21.61,47.25,521.92,2388.07,8129.7,8.4148,392.0,39.02,23.4999,0
32,-0.0042,-0.0004,21.61,47.28,521.91,2388.08,8134.42,8.3753,392.0,38.83,23.3506,0
33,0.0015,-0.0001,21.61,47.47,521.7,2388.09,8126.61,8.4349,392.0,38.81,23.3092,0
34,0.0003,0.0002,21.61,47.31,521.75,2388.01,8140.17,8.443,391.0,39.13,23.4164,0
35,-0.0004,-0.0002,21.61,47.25,522.32,2388.04,8132.48,8.4246,392.0,38.86,23.4308,0
36,-0.0004,0.0,21.61,47.29,522.29,2388.04,8131.95,8.4142,392.0,38.99,23.4352,0
37,-0.0018,-0.0002,21.61,47.27,522.42,2388.08,8136.61,8.4158,392.0,39.06,23.4768,0
38,-0.003,-0.0001,21.61,47.12,522.23,2388.05,8131.81,8.414,392.0,38.7,23.3699,0
40,0.0033,0.0004,21.61,47.09,522.07,2388.112,8138.08,8.437,392.0,39.13,23.4444,0
41,0.0005,-0.0004,21.61,47.49,522.23,2388.05,8130.88,8.4137,392.0,39.0,23.375,0
42,-0.0027,0.0005,21.61,47.32,522.74,2388.09,8127.22,8.4068,392.0,38.99,23.3148,0
43,-0.0001,0.0002,21.61,47.45,522.3,2388.0,8131.45,8.4201,392.0,39.06,23.4753,0
44,-0.0013,0.0,21.61,47.45,521.73,2388.05,8128.31,8.4099,393.0,38.79,23.3943,0
45,0.0003,0.0001,21.61,47.2,522.02,2388.08,8128.71,8.3977,393.0,38.93,23.3745,0
46,0.0,0.0005,21.61,47.22,521.84,2388.05,8126.21,8.3973,392.0,38.99,23.4873,0
47,0.0019,0.0001,21.61,47.4,521.91,2388.06,8129.99,8.4376,392.0,38.94,23.365,0
48,-0.0014,0.0005,21.61,47.22,521.37,2388.04,8135.48,8.4151,392.0,39.06,23.4498,0
49,-0.0032,-0.0001,21.61,47.47,522.33,2388.09,8127.3,8.4116,392.0,38.85,23.4106,0
50,-0.001,0.0003,21.61,47.12,521.91,2388.05,8134.36,8.4504,393.0,38.94,23.3651,0
51,0.0018,-0.0001,21.61,47.07,522.1,2388.07,8132.82,8.4539,391.0,39.0,23.3388,0
52,0.0021,-0.0001,21.61,47.52263736263737,521.96,2388.06,8134.38,8.4418,392.0,38.8360773480663,23.3775,0
53,-0.0002,0.0005,21.61,47.38,522.44,2388.06,8129.95,8.4189,392.0,38.96,23.2348,0
54,0.0009,0.0,21.61,47.4,522.11,2388.02,8134.1,8.4071,392.0,39.06,23.3567,0
55,0.0007,-0.0002,21.61,47.26,522.48,2388.04,8135.4,8.4022,391.0,38.68,23.3408,0
56,-0.0033,0.0,21.61,47.29,521.62,2388.08,8135.48,8.4263,392.0,38.84,23.3567,0
57,-0.0014,0.0001,21.61,47.26,521.4579096045198,2388.04,8132.08,8.4319,390.0,38.93,23.2893,0
58,-0.0006,0.0002,21.61,47.26,521.32,2388.02,8128.81,8.4476,392.0,38.92,23.4444,0
59,-0.001,-0.0002,21.61,47.41,522.49,2388.03,8132.89,8.3878,393.0,38.89,23.387,0
60,0.0004,0.0005,21.61,47.31,522.34,2388.09,8131.66,8.4264,391.0,38.89,23.3638,0
61,0.0004,0.0001,21.61,47.28,522.19,2388.1,8132.28,8.4071,391.0,39.03,23.2707,0
62,0.0015,0.0002,21.61,47.51,521.56,2388.01,8130.73,8.4357,394.0,38.77,23.3436,0
63,0.0017,0.0002,21.61,47.45,521.82,2388.04,8128.15,8.4066,391.0,38.93,23.384,0
64,0.0,0.0005,21.61,47.56,521.54,2388.13,8132.94,8.4406,392.0,38.9,23.3752,0
66,0.0016,-0.0004,21.61,47.39,522.64,2388.08,8134.07,8.3925,393.0,38.97,23.291,0
67,-0.0018,0.0,21.61,47.36,521.72,2388.07,8132.39,8.4242,392.0,38.95,23.3174,0
68,-0.0022,0.0005,21.61,47.41,522.22,2388.1,8129.13,8.4292,392.0,39.0,23.3742,0
69,-0.0005,0.0002,21.61,47.41,521.93,2388.12,8130.36,8.4279,392.0,38.86,23.4513,0
70,0.0016,-0.0003,21.61,47.3,521.72,2388.09,8134.28,8.423,391.0,38.8,23.3881,0
71,-0.0017,0.0001,21.61,47.27,521.97,2388.09,8133.95,8.3951,391.0,38.84,23.3085,0
72,-0.0012,-0.0002,21.61,47.29,522.04,2388.1,8129.85,8.404,391.0,39.03,23.3975,0
73,0.0027,0.0001,21.61,47.58,522.25,2387.97,8132.67,8.4135,392.0,38.8,23.382,0
74,0.0009,-0.0004,21.61,47.22,521.77,2388.11,8130.13,8.4621,392.0,38.89,23.3521,0
75,-0.0015,0.0002,21.61,47.44,521.58,2388.03,8136.44,8.3996,392.8833333333333,39.02,23.4428,0
76,-0.0002233333333333333,0.0004,21.61,47.41,521.6,2388.08,8135.25,8.453,393.0,38.99,23.275,0
77,0.004,0.0002,21.61,47.4,522.28,2388.16,8133.91,8.3793,392.0,38.88,23.3486,0
78,0.0022,-0.0002,21.61,47.35,521.85,2388.13,8135.4,8.4132,394.0,38.9,23.3121,0
79,-0.0002,-0.0004,21.61,47.64,521.52,2388.1,8134.66,8.4235,392.0,38.89,23.3613,0
80,-0.0018,-0.0004,21.61,47.43,521.66,2388.05,8128.87,8.4247,392.0,38.77,23.373,0
81,-0.0012,0.0001,21.61,47.25,521.95,2388.03,8134.04,8.3986,392.8833333333333,38.89,23.2713,0
82,0.0004,0.0005,21.61,47.22,521.93,2388.05,8128.896201117318,8.4128,391.0,38.8,23.3274,0
83,0.0005,0.0002,21.61,47.38,521.54,2388.06,8131.54,8.4139,392.0,38.73,23.2653,0
84,0.0025,0.0003,21.61,47.36,522.3,2388.05,8135.31,8.4499,392.0,39.01,23.284,0
85,-0.0012,0.0004,21.61,47.38,521.82,2388.09,8130.06,8.4173,394.0,38.94,23.3945,0
87,0.0029,0.0003,21.61,47.46,522.2,2388.04,8131.47,8.4586,392.0,38.9,23.3086,0
88,0.0008,-0.0001,21.61,47.46,521.55,2388.08,8135.15,8.4489,392.0,38.95,23.3288,0
89,0.0017,-0.0001,21.61,47.32,521.49,2388.112,8129.72,8.3961,391.0,38.98,23.4712,0
90,0.0025,-0.0004,21.61,47.32,521.4579096045198,2388.1,8134.4,8.3949,394.0,39.11,23.3842,0
91,0.001,-0.0002,21.61,47.45,521.91,2388.05,8131.39,8.3982,392.0,38.8360773480663,23.3522,0
92,0.0032,0.0002,21.61,47.46,521.43,2388.08,8133.15,8.421,392.0,38.86,23.2477,0
93,-0.0021,0.0002,21.61,47.48,521.61,2388.07,8132.4,8.4524,393.0,38.85,23.3758,0
94,0.0019,0.0003,21.61,47.38,521.92,2388.02,8131.63,8.436808241758241,394.0,38.76,23.3269,0
95,-0.0034,0.0001,21.61,47.39,521.66,2388.06,8130.69,8.4311,392.0,38.88,23.3255,0
96,0.0035,-0.0003,21.61,47.46,521.67,2388.06,8128.74,8.4105,392.0,39.01,23.2963,0
97,0.0006,0.0004,21.61,47.37,522.31,2388.06,8127.89,8.4012,391.0,38.96,23.2554,0
98,-0.0005,0.0,21.61,47.4,521.42,2388.1,8131.77,8.4481,393.0,38.82,23.2323,0
99,-0.0021,-0.0003,21.61,47.64,521.55,2388.08,8132.49,8.4241,392.0,38.93,23.409,0
100,0.0012,0.0003,21.61,47.62,521.89,2388.08,8125.97,8.4353,391.0,38.75,23.4149,0
102,-0.0013,0.0001,21.61,47.57,521.41,2388.1,8124.4,8.4263,392.0,38.69,23.4289,0
103,-0.0001,0.0001,21.61,47.34,522.38,2388.09,8131.89,8.4021,392.0,38.96,23.3393,0
104,0.0024,0.0004,21.61,47.31,521.81,2388.08,8128.896201117318,8.4326,393.0,38.77,23.3857,0
105,0.0,0.0001,21.61,47.44,521.51,2388.09,8126.38,8.4664,392.0,39.08,23.4148,0
106,-0.0012,-0.0001,21.61,47.35,521.75,2388.07,8132.4,8.4241,396.0,39.01,23.4086,0
107,0.0008,0.0001,21.61,47.61,521.52,2388.03,8131.52,8.4133,393.0,38.75,23.3032,0
108,-0.0011,-0.0003,21.61,47.58,521.62,2388.11,8130.97,8.3757,394.0,39.05,23.3561,0
109,0.0,0.0004,21.61,47.55,522.01,2388.12,8127.16,8.4638,393.0,39.06,23.2951,0
110,0.0008,0.0004,21.61,47.62,521.53,2388.14,8132.4,8.4447,392.0,38.92,23.2135,0
112,0.0007,0.0001,21.61,47.46,521.75,2388.16,8129.32,8.458,393.0,38.9,23.3101,0
113,0.0003,0.0004,21.61,47.58,521.68,2388.15,8128.896201117318,8.429,394.0,38.89,23.3754,0
114,-0.0017,0.0005,21.61,47.43,521.36,2388.12,8127.6,8.4345,393.0,38.93,23.3022,0
115,-0.002,-0.0003,21.61,47.43,521.6,2388.05,8134.46,8.4059,394.0,39.03,23.3512,0
116,0.0005,0.0004,21.61,47.52,521.22,2388.1,8126.12,8.4256,391.0,38.73,23.1766,0
117,-0.0006,6.022099447513812e-05,21.61,47.55,521.31,2388.12,8135.21,8.4197,393.0,38.88,23.2966,0
118,0.0013,0.0005,21.61,47.55,521.46,2388.09,8123.85,8.4194,394.0,39.01,23.3188,0
119,-0.0024,0.0005,21.61,47.6,521.34,2388.1,8125.57,8.4029,393.0,38.81,23.3061,0
120,-0.0033,0.0004,21.61,47.44,521.3,2388.04,8133.94,8.4263,394.0,38.63,23.422,0
121,0.0026,-0.0001,21.61,47.6,520.92,2388.12,8131.81,8.4256,393.0,38.86,23.2793,0
122,-0.0002233333333333333,-0.0002,21.61,47.41,521.6,2388.17,8129.72,8.4396,392.0,38.9,23.292,0
123,0.0025,0.0002,21.61,47.55,521.4,2388.13,8133.82,8.4416,393.0,38.8,23.2341,0
124,-0.0004,0.0005,21.61,47.63,521.57,2388.11,8126.33,8.4079,394.0,38.68,23.3039,0
125,0.0016,0.0001,21.61,47.49,521.35,2388.08,8130.94,8.4378,392.0,38.85,23.2289,0
126,-0.001,0.0002,21.61,47.63,521.4579096045198,2388.1,8133.0,8.4626,393.0,38.91,23.2772,0
127,-0.0006,0.0003,21.61,47.62,521.96,2388.16,8132.08,8.4413,393.0,38.85,23.2641,0
128,-0.0033,0.0003,21.61,47.61,522.02,2388.13,8127.33,8.4681,393.0,38.8360773480663,23.2656,0
129,-0.0007,0.0002,21.61,47.46,521.49,2388.07,8125.29,8.3938,394.0,38.71,23.3461,0
130,0.0002,-0.0001,21.61,47.7,521.45,2388.13,8126.38,8.4328,391.0,38.73,23.3435,0
131,0.0032,-0.0001,21.61,47.56,521.64,2388.16,8128.92,8.4227,393.0,38.53,23.3186,0
132,0.0032,-0.0002,21.61,47.57,521.23,2388.09,8130.93,8.4604,394.0,38.95,23.2521,0
133,-0.0014,0.0,21.61,47.75,521.52,2388.13,8131.3,8.4293,393.0,38.68,23.2833,0
134,-0.0017,0.0001,21.61,47.34,520.99,2388.12,8129.34,8.4242,392.0,38.85,23.2744,0
135,0.003,-0.0001,21.61,47.43,521.54,2388.11,8128.896201117318,8.4469,393.0,38.76,23.1699,0
136,-0.0011,0.0,21.61,47.89,521.63,2388.12,8128.81,8.449,394.0,38.87,23.2593,0
137,-0.0011,0.0001,21.61,47.4,521.57,2388.18,8129.67,8.4208,392.0,39.0,23.3664,0
138,-0.0014,0.0005,21.61,47.67,521.03,2388.15,8124.97,8.4621,394.0,38.88,23.3422,0
139,-0.0006,-0.0001,21.61,47.51,521.27,2388.05,8130.27,8.4397,393.0,38.82,23.3704,0
140,-0.0023,0.0005,21.61,47.49,521.06,2388.16,8120.93,8.4641,394.0,39.02,23.2382,0
141,0.0026,0.0002,21.61,47.59,520.44,2388.18,8124.87,8.4291,392.0,38.71,23.2816,0
142,-0.0005,-0.0003,21.61,47.52,520.98,2388.11,8126.81,8.4419,393.0,38.79,23.2305,0
143,0.0025,-0.0004,21.61,47.57,521.11,2388.17,8125.47,8.4601,393.0,38.75,23.306268333333335,0
144,-0.0004,-0.0001,21.61,47.52263736263737,521.13,2388.15,8130.91,8.4644,395.0,38.67,23.149,0
145,0.0002,-0.0003,21.61,47.63,521.13,2388.12,8129.19,8.4312,392.0,38.69,23.3233,0
146,-0.0002233333333333333,0.0001,21.61,47.8,520.92,2388.12,8126.13,8.4428,393.0,38.77,23.2684,0
147,0.001,-0.0004,21.61,47.49,521.08,2388.15,8124.48,8.4276,392.0,38.77,23.2498,0
148,0.0025,0.0004,21.61,47.83,521.13,2388.15,8124.34,8.4731,394.0,38.77,23.306268333333335,0
149,0.001,-0.0003,21.61,47.6,520.5,2388.21,8122.99,8.4726,394.0,38.68,23.2082,0
150,-0.0019,-0.0001,21.61,47.58,520.94,2388.22,8127.21,8.4612,394.0,38.56,23.2277,0
151,0.0009,-0.0001,21.61,47.72,520.39,2388.19,8119.0,8.4572,395.0,38.77,23.2369,0
152,0.0011,-0.0004,21.61,47.74,520.69,2388.17,8124.14,8.4435,393.0,38.78,23.1719,0
153,-0.0012,0.0,21.61,47.73,520.72,2388.18,8129.24,8.4794,394.0,38.82,23.2366,0
154,-0.0033,0.0002,21.61,47.61,521.23,2388.17,8120.41,8.4729,394.0,38.68,23.2749,0
155,-0.002,0.0003,21.61,47.58,520.75,2388.16,8128.48,8.4432,392.8833333333333,38.77,23.2791,0
156,-0.0018,0.0002,21.61,47.72,520.94,2388.17,8125.07,8.4328,392.0,38.67,23.2354,0
157,-0.0023,0.0001,21.61,47.68,521.4579096045198,2388.22,8126.33,8.4368,394.0,38.75,23.2894,0
158,-0.0006,0.0001,21.61,47.76,520.65,2388.23,8127.61,8.4403,394.0,38.76,23.253,0
159,-0.0006,6.022099447513812e-05,21.61,47.84,520.47,2388.22,8122.68,8.436808241758241,396.0,38.52,23.2817,0
160,0.0008,0.0001,21.61,47.77,520.47,2388.18,8126.97,8.4405,394.0,38.66,23.2962,0
161,-0.0005,0.0004,21.61,47.79,520.44,2388.2,8123.77,8.5015,394.0,38.78,23.1538,1
162,0.0003,-0.0004,21.61,47.89,520.3,2388.2,8124.06,8.5129,393.0,38.65,23.1419,1
163,0.0005,-0.0002,21.61,47.7,521.4579096045198,2388.28,8124.63,8.4803,394.0,38.62,23.1761,1
164,0.001,0.0004,21.61,47.89,520.69,2388.24,8126.53,8.4922,393.0,38.59,23.2129,1
165,-0.0022,-0.0003,21.61,47.86,521.4579096045198,2388.22,8119.14,8.4663,395.0,38.62,23.145,1
166,0.0012,0.0003,21.61,47.85,520.49,2388.112,8122.41,8.4632,394.0,38.77,23.3011,1
167,-0.0043,0.0002,21.61,47.84,520.78,2388.19,8124.44,8.4925,393.0,38.76,23.277,1
168,-0.0017,0.0004,21.61,47.88,520.44,2388.18,8125.3,8.4767,394.0,38.58,23.187,1
170,0.0004,-0.0003,21.61,48.03,519.85,2388.22,8124.87,8.4922,395.0,38.68,23.2444,1
171,-0.0014,-0.0003,21.61,48.07,520.54,2388.26,8120.08,8.4595,393.0,38.65,23.1585,1
172,-0.0032,0.0002,21.61,47.9,520.11,2388.23,8121.64,8.5091,395.0,38.59,23.306268333333335,1
173,-0.0001,-0.0002,21.61,48.0,520.22,2388.112,8119.17,8.4476,393.0,38.57,23.0357,1
174,0.0001,0.0002,21.61,47.86,520.38,2388.22,8125.76,8.489,394.0,38.58,23.1573,1
175,-0.002,-0.0003,21.61,47.84,519.8,2388.2,8123.8,8.4853,394.0,38.72,23.2491,1
176,-0.0038,-0.0003,21.61,48.03,520.24,2388.23,8120.11,8.4779,396.0,38.63,23.1673,1
177,-0.0001,0.0002,21.61,48.0,520.2,2388.2,8116.56,8.477,395.0,38.65,23.177,1
178,0.0023,-0.0003,21.61,48.02,520.38,2388.18,8116.84,8.4947,395.0,38.77,23.1888,1
179,-0.0024,0.0,21.61,47.85,519.84,2388.28,8122.57,8.4737,395.0,38.86,23.007,1
180,-0.0006,0.0005,21.61,48.1,520.43,2388.23,8114.79,8.472,397.0,38.34,23.1652,1
181,-0.001,0.0003,21.61,47.98,520.46,2388.25,8119.67,8.5158,397.0,38.43,23.1787,1
182,0.0001,0.0001,21.61,48.03,520.05,2388.23,8117.8,8.5041,396.0,38.56,23.1302,1
183,0.0004,0.0003,21.61,48.07,519.77,2388.28,8115.61,8.5133,395.0,38.43,23.0146,1
184,0.0008,0.0001,21.61,48.15,519.82,2388.27,8128.896201117318,8.4984,395.0,38.51,23.07,1
185,0.0027,-0.0003,21.61,48.12,520.08,2388.25,8123.45,8.5227,397.0,38.47,23.0564,1
