,Period Code,Cycle ID,B_2,B_3,B_10,B_15,B_16,B_17,B_18,B_19,B_21,B_24,B_25,timestamp,Good/Bad
0,1,1,-0.0007,-0.0004,21.61,47.47,521.66,2388.02,8138.62,8.4195,392.0,39.06,23.419,03/01/2020 00:00,0
1,1,3,-0.0043,0.0003,21.61,47.27,522.42,2388.03,8133.23,8.4178,390.0,38.95,23.3442,03/01/2020 00:10,0
2,1,4,0.0007,0.0,21.61,47.13,522.86,2388.08,8133.83,8.3682,392.0,38.88,23.3739,03/01/2020 00:15,0
3,1,5,-0.0019,-0.0002,21.61,47.28,522.19,2388.04,8133.8,8.4294,393.0,38.9,23.4044,03/01/2020 00:20,0
4,1,6,-0.0043,-0.0001,21.61,47.16,521.68,2388.03,8132.85,8.4108,391.0,38.98,23.3669,03/01/2020 00:25,0
5,1,9,0.0008,0.0001,21.61,47.29,521.79,2388.05,8125.69,8.3728,392.0,39.05,23.4066,03/01/2020 00:40,0
6,1,11,0.0018,-0.0003,21.61,47.15,521.4,2388.01,8140.58,8.434,392.0,38.94,23.4787,03/01/2020 00:50,0
7,1,13,-0.0019,0.0004,21.61,47.38,521.85,2388.08,8128.1,8.4152,393.0,38.93,23.2757,03/01/2020 01:00,0
8,1,15,-0.0018,-0.0003,21.61,47.3,521.4833333333333,2388.08,8127.56,8.4199,392.74436090225566,38.99,23.35,03/01/2020 01:10,0
9,1,16,0.0006,0.0005,21.61,47.24,521.49,2388.07,8136.11,8.3936,392.0,38.97,23.455,03/01/2020 01:15,0
10,1,18,-0.0031,-0.0001,21.61,47.21,521.76,2388.07,8132.73,8.4028,392.0,38.89,23.3987,03/01/2020 01:25,0
11,1,19,0.0032,-0.0003,21.61,47.4,521.89,2388.03,8129.13,8.4321,391.0,38.8,23.3464,03/01/2020 01:30,0
12,1,24,-0.001,0.0003,21.61,47.44,522.13,2388.03,8133.88,8.3891,392.0,39.0,23.3696,03/01/2020 01:55,0
13,1,27,-0.0012,-0.0004,21.61,47.37,522.0,2388.13,8134.6,8.4046,393.0,38.99,23.4472,03/01/2020 02:10,0
14,1,28,-0.0024,0.0005,21.61,47.41,522.57,2388.08,8127.3,8.4323,390.0,39.01,23.2841,03/01/2020 02:15,0
15,1,29,0.0012,-0.0001,21.61,47.24,522.41,2388.06,8133.06,8.4189,393.0,38.93,23.3597,03/01/2020 02:20,0
16,1,30,-0.0022,0.0,21.61,47.4,522.19,2388.0,8137.86,8.4065,390.0,39.05,23.30615259259259,03/01/2020 02:25,0
17,1,31,0.0014,0.0005,21.61,47.41,521.95,2388.06,8125.28,8.4104,392.0,38.94,23.3353,03/01/2020 02:30,0
18,1,32,-0.0003455223880597015,-0.0003,21.61,47.25,521.92,2388.07,8129.7,8.4148,392.0,39.02,23.4999,03/01/2020 02:35,0
19,1,33,-0.0042,-0.0004,21.61,47.28,521.91,2388.08,8134.42,8.3753,392.0,38.83,23.3506,03/01/2020 02:40,0
20,1,34,0.0015,-0.0001,21.61,47.47,521.7,2388.09,8126.61,8.4349,392.0,38.81,23.3092,03/01/2020 02:45,0
21,1,35,0.0003,0.0002,21.61,47.31,521.75,2388.01,8140.17,8.443,391.0,39.13,23.4164,03/01/2020 02:50,0
22,1,36,-0.0004,-0.0002,21.61,47.25,522.32,2388.04,8132.48,8.4246,392.0,38.86,23.4308,03/01/2020 02:55,0
23,1,37,-0.0004,0.0,21.61,47.29,522.29,2388.04,8131.95,8.4142,392.0,38.99,23.4352,03/01/2020 03:00,0
24,1,38,-0.0018,-0.0002,21.61,47.27,522.42,2388.08,8136.61,8.4158,392.0,39.06,23.4768,03/01/2020 03:05,0
